Max-min Fairness,M?c ??nh
62.281,54.072
63.9075,56.448
65.084,57.888
66.2515,59.508
67.8005,60.696
68.0055,61.776
66.99,61.38
66.2385,60.3
67.533,60.552
68.296,60.408
68.546,61.128
69.3015,59.544
69.4745,60.732
69.0685,60.84
66.3225,60.516
65.3915,60.012
64.976,60.408
64.7405,61.128
64.391,62.424
63.258,58.356
62.737,58.968
62.2735,60.804
60.601,62.748
59.446,64.476
57.164,62.64
56.108,63.936
54.7245,65.268
54.2305,65.376
53.837,65.844
55.7575,66.924
56.858,68.58
56.3505,70.236
53.5235,72.288
52.488,72.972
52.55,73.62
52.692,72.612
51.9525,70.128
53.8965,67.572
55.8565,66.24
57.3755,64.404
56.4185,64.008
56.4185,64.692
55.9205,64.692
56.096,63.684
56.748,62.82
57.1005,61.416
56.449,58.752
55.5235,57.276
54.543,57.132
52.912,56.52
53.5055,56.772
54.4205,57.024
52.7735,57.132
51.762,56.232
53.4865,56.052
53.901,56.196
53.685,57.312
55.408,58.356
57.0455,57.564
57.35,58.356
58.79,60.444
60.2195,58.68
61.0225,60.156
61.5265,60.912
63.4115,61.272
63.2765,57.492
63.1035,55.944
60.4815,56.304
61.7055,55.62
62.935,54.36
63.9715,54.144
64.3725,53.784
64.7525,53.316
65.0025,53.424
65.899,55.332
67.027,57.024
67.139,58.068
65.9395,57.78
63.9005,56.304
66.5155,55.98
65.557,55.584
66.534,55.548
67.1315,55.476
68.1395,55.188
67.6985,54.54
63.036,54.54
61.153,53.136
60.289,51.372
60.361,49.788
60.2545,49.068
60.8305,46.296
62.0545,45.432
63.638,45.36
64.646,44.316
65.809,44.136
67.7435,45.036
68.8665,46.332
68.5915,48.24
67.538,50.004
65.623,51.012
63.7,51.948
63.289,53.748
62.688,55.044
62.2195,56.88
61.4995,57.168
62.6825,55.872
64.355,54.9
64.54,54.396
64.2295,54.792
64.679,54.936
64.0015,55.62
60.7555,56.952
60.6485,57.996
61.0605,58.968
63.8455,59.796
66.328,59.976
67.742,58.392
67.176,56.736
66.674,56.088
67.02,56.088
67.4765,56.268
67.5465,54.936
64.3575,59.076
62.3385,59.76
61.9785,61.236
61.53,60.084
60.666,61.74
60.9235,61.596
60.9585,61.956
60.9805,61.704
61.2665,60.876
62.206,59.796
61.013,57.996
61.0845,56.7
61.7755,55.152
62.1355,53.388
61.411,54.432
60.7505,58.176
58.907,59.292
56.38,60.192
52.8365,58.32
49.5575,59.184
46.4255,60.084
45.483,60.012
45.571,61.56
46.6315,63.252
49.3895,64.656
51.312,65.592
50.438,65.268
52.404,64.728
54.9345,65.484
56.6915,66.204
57.6275,66.528
58.5635,65.592
59.4995,64.656
59.3765,63.828
58.008,63.756
57.792,64.8
58.9155,65.412
60.5285,65.124
61.2295,63.9
61.5675,64.332
61.334,64.692
58.753,64.44
60.481,65.196
61.2885,64.98
59.591,64.08
59.3195,63.648
60.814,58.536
59.4125,57.888
59.7255,57.42
59.466,56.736
58.622,58.5
58.2795,59.4
58.0825,59.292
59.276,60.444
60.5505,61.524
60.5855,61.452
62.567,61.056
64.137,60.336
64.4505,58.788
65.2035,57.564
66.9625,55.44
67.086,55.692
67.7165,55.296
68.453,57.024
65.1015,57.6
63.5275,58.176
62.1595,57.96
60.539,56.916
58.9165,55.332
58.36,54.612
58.6545,55.26
56.8705,56.016
52.441,55.836
51.8715,56.268
50.1825,55.62
47.5055,53.064
46.431,52.632
45.8355,50.256
44.8895,50.364
43.8625,50.688
44.3665,52.488
45.6715,53.172
44.214,54.468
45.7385,54.828
48.706,55.26
50.146,56.232
51.802,56.592
53.258,56.772
54.5195,56.52
55.9155,54.9
56.9235,53.892
58.8675,52.704
59.735,50.364
60.239,51.876
62.297,53.604
63.642,54.864
65.6075,53.028
66.898,52.524
67.9015,52.56
68.146,51.192
67.915,49.716
67.04,44.964
66.464,46.836
66.3855,47.952
67.1975,49.428
66.421,51.696
66.839,52.236
64.2585,53.388
64.8465,54.36
61.206,53.676
63.0045,53.064
64.547,53.136
66.1505,50.832
65.9485,51.876
64.284,52.128
62.196,52.632
61.25,52.524
60.678,52.74
57.741,54.18
58.753,54.936
58.9475,55.548
59.8835,57.096
60.7795,58.644
62.2185,59.868
64.5235,60.876
66.0975,60.948
61.2475,60.624
59.5355,60.012
54.5155,59.472
52.279,58.896
51.881,57.276
53.1315,55.62
