maxmin,default
45.69778,58.428
46.02944,58.716
47.12102,57.996
48.78852,57.708
50.11332,57.312
51.90824,57.312
53.71144,57.132
55.43874,57.312
56.45258,58.572
56.97238,59.544
56.00684,59.076
53.97962,59.976
51.566,60.048
51.19064,58.428
51.01124,59.22
51.44502,59.868
52.42804,60.696
52.53338,61.272
52.3986,62.244
51.19846,63.324
48.0585,63.828
46.98992,63.144
46.2553,62.712
46.7981,63.288
48.19098,64.8
47.24982,65.988
48.6381,65.376
51.64558,59.256
54.21606,58.392
55.0068,57.888
54.53484,57.744
51.47078,57.276
50.06042,57.06
47.26178,54.756
45.14348,53.532
45.23962,51.588
46.4485,49.212
47.81608,48.456
49.46656,47.916
50.59724,47.448
51.35854,45.9
52.15204,45.864
53.05916,46.332
54.85638,47.556
56.96272,48.24
58.79122,50.04
61.07926,51.588
62.87188,51.696
64.19668,49.176
65.25744,48.672
65.98608,43.632
66.92632,43.848
67.82792,44.388
67.96224,44.928
67.46038,45
63.8342,45.936
61.87644,46.26
60.4049,47.448
58.59388,48.708
57.60028,47.988
56.60668,49.572
56.57862,50.94
57.0515,52.668
57.63064,53.208
57.8956,53.28
58.4522,53.496
58.91588,53.388
60.24068,47.844
61.47578,48.96
61.57238,50.436
61.83734,51.192
62.47858,51.84
62.94226,51.804
57.51886,51.984
59.8138,51.948
61.4721,51.192
61.8769,50.58
61.04154,49.86
59.3538,49.212
59.15508,48.78
58.64632,49.032
57.59844,44.316
57.36522,45.108
57.64352,44.568
56.373,44.856
55.41942,45.648
56.74422,45.468
56.90522,45
56.06434,45.648
53.33884,45.216
52.66908,45.612
52.9782,47.7
53.50444,48.42
54.0431,47.808
54.77588,48.672
54.93182,49.284
54.97966,46.836
53.09458,46.224
48.38004,47.772
46.26036,49.392
42.9502,50.796
42.51826,52.416
42.51826,54
43.72392,54.504
45.22398,55.116
46.2208,53.676
47.36252,52.344
48.26366,51.408
45.08414,51.588
44.8822,50.292
43.79614,49.644
42.9824,50.4
42.56886,51.732
40.3374,53.748
41.35492,54.792
42.44972,56.124
44.0657,56.916
44.15034,57.672
45.74332,58.572
47.84414,59.868
49.60364,61.056
51.10232,61.992
51.96344,63.036
50.4482,64.908
50.4482,65.664
51.97172,65.988
53.59874,64.656
55.71842,61.056
57.65456,59.544
59.48306,58.5
61.84056,58.896
62.74262,59.796
61.45692,59.724
61.52914,61.632
61.88978,63.504
62.33506,65.7
62.18602,67.104
62.71594,66.96
63.32636,63.396
62.21868,61.524
57.17064,60.588
54.3444,59.436
53.15208,58.032
52.2008,58.572
51.46572,58.968
51.54622,59.688
52.2721,60.948
53.38944,61.128
53.19118,62.496
53.10746,63.72
53.02006,64.584
52.8011,64.548
52.44874,63.684
51.87558,63.612
52.67414,64.296
53.18106,64.368
53.4037,63.252
53.32872,61.164
53.1323,57.456
52.19436,53.496
51.78956,51.012
52.37422,49.032
52.47726,48.816
52.2422,49.788
52.17412,47.952
52.34386,48.6
52.90966,49.968
52.81306,51.264
49.60272,50.688
50.29824,47.196
51.20352,46.404
51.95378,47.16
53.91614,47.628
54.79336,48.852
54.49344,50.4
53.69258,51.372
52.63274,52.308
52.0582,53.496
53.44326,54.18
55.82698,53.568
57.26678,55.368
57.7139,57.276
56.2695,59.04
53.66682,61.488
54.72804,62.928
56.63382,63.108
57.85098,63.108
58.7926,62.1
57.5782,61.056
56.42222,62.604
57.31738,64.044
56.71754,66.06
56.37438,65.124
57.17294,65.916
58.25992,66.708
59.3676,62.46
59.6965,63.792
58.70566,64.368
57.83396,65.124
57.6886,64.584
54.10014,61.992
53.83932,60.804
53.83058,59.4
53.15576,56.916
52.6217,56.232
52.50624,55.8
51.21272,56.7
51.53104,58.464
50.90866,59.256
52.52924,60.516
53.3163,62.172
52.35398,64.26
